"ID","LogPom","LogIct","LogBra","LogAut","LogDja"
"CSL-10029",14,6,9,9,8
"CSL-10039",12,5,8,9,7
"CSL-10040",12,7,10,11,11
"CSL-10082",11,9,10,0,11
"CSL-10083",11,6,10,10,10
"CSL-10084",11,8,7,7,9
"CSL-10087",13,10,11,11,11
"CSL-10101",12,8,9,8,9
"CSL-10113",10,10,10,9,10
"CSL-10120",10,7,8,12,9
"CSL-10144",12,10,9,10,8
"CSL-6210",12,7,7,9,8
"CSL-7522",11,5,0,0,0
"CSL-9784",10,7,8,9,10
"CSL-9979",10,7,10,10,9
"WCSL-10-66",6,3,0,2,1
"WCSL-209-11",9,5,6,7,4
"WCSL-6269-11",9,4,5,6,5
"WCSL-6434-11",7,5,4,3,4
"CSL-10003",10,5,7,8,7
"CSL-10020",12,5,8,10,10
"CSL-10026",0,4,0,0,0
"CSL-10033",11,7,10,10,9
"CSL-10041",10,5,6,8,10
"CSL-10042",11,8,9,8,10
"CSL-10055",6,1,2,3,3
"CSL-10063",13,6,11,10,10
"CSL-10065",11,8,11,11,11
"CSL-10067",14,8,7,9,9
"CSL-10069",8,6,6,7,8
"CSL-10075",11,9,10,11,10
"CSL-10076",10,9,7,8,10
"CSL-10078",12,8,7,8,8
"CSL-10094",11,9,8,9,11
"CSL-10097",10,10,10,10,10
"CSL-10099",13,11,9,9,11
"CSL-10102",11,9,7,8,10
"CSL-10105",9,3,6,8,9
"CSL-10111",10,12,10,10,12
"CSL-10114",12,9,10,12,11
"CSL-10116",11,6,6,8,9
"CSL-10118",7,0,9,8,9
"CSL-10119",10,7,9,9,10
"CSL-10124",10,4,9,9,8
"CSL-10125",11,8,9,10,9
"CSL-10129",12,6,10,9,10
"CSL-10131",9,4,8,8,8
"CSL-10132",12,9,12,12,11
"CSL-10138",8,4,6,6,6
"CSL-10139",10,4,8,8,7
"CSL-10140",11,8,9,8,9
"CSL-10142",11,6,7,8,6
"CSL-10143",11,6,7,10,8
"CSL-10148",12,8,10,10,9
"CSL-10149",11,7,8,9,8
"CSL-10153",11,7,8,9,8
"CSL-10157",13,9,7,8,8
"CSL-10159",12,7,8,10,11
"CSL-10161",12,7,9,9,9
"CSL-10166",11,6,9,9,8
"CSL-10188",11,3,6,7,6
"CSL-10201",10,8,9,8,8
"CSL-10212",8,5,6,6,6
"CSL-10228",13,6,9,10,12
"CSL-10232",12,7,9,10,8
"CSL-10447",12,6,0,0,0
"CSL-10453",11,6,12,9,11
"CSL-10502",0,1,0,0,0
"CSL-10769",3,1,0,1,2
"CSL-13270",11,6,9,9,8
"CSL-13415",2,5,7,9,8
"CSL-13454",13,5,10,11,10
"CSL-6418",7,2,0,0,0
"CSL-6851",12,5,0,0,0
"CSL-7032",10,4,0,0,0
"CSL-7606",13,7,10,9,7
"CSL-7869",9,7,0,0,0
"CSL-7893",11,10,11,11,10
"CSL-7895",11,6,7,9,7
"CSL-7912",11,6,0,0,0
"CSL-7920",11,7,0,0,0
"CSL-7922",12,6,0,0,0
"CSL-7943",10,8,0,0,0
"CSL-7950",11,5,0,0,0
"CSL-7956",7,3,0,0,0
"CSL-7957",10,5,0,0,0
"CSL-7971",11,6,9,9,7
"CSL-7973",11,7,0,0,0
"CSL-7980",11,7,11,10,9
"CSL-8010",11,7,0,0,0
"CSL-8223",0,1,0,0,0
"CSL-8943",12,4,10,10,10
"CSL-9483",9,5,8,9,6
"CSL-9809",10,8,11,12,10
"CSL-9813",11,6,10,12,10
"CSL-9814",10,7,8,10,10
"CSL-9830",11,9,11,11,9
"CSL-9846",10,5,7,7,5
"CSL-9847",9,8,5,5,6
"CSL-9889",11,7,9,9,8
"CSL-9898",10,8,10,12,10
"CSL-9912",8,2,2,4,0
"CSL-9914",12,7,7,9,8
"CSL-9917",11,7,7,8,8
"CSL-9918",10,6,8,9,10
"CSL-9951",11,7,10,10,11
"CSL-9955",10,5,5,7,7
"CSL-9962",11,9,8,8,9
"CSL-9973",13,7,6,9,9
"CSL-9977",10,7,9,9,9
"CSL-9999",9,6,6,6,6
"WCSL-10-1",13,6,10,10,7
"WCSL-10-3",7,4,4,5,3
"WCSL-10-72",10,9,6,6,7
"WCSL-10-73",6,2,3,4,3
"WCSL-10-79",10,7,6,7,7
"WCSL-215-11",7,2,7,8,3
"WCSL-5651-11",7,2,0,3,1
"WCSL-5652-11",11,5,6,8,5
"WCSL-6264-11",3,6,5,5,6
"WCSL-6267-11",11,7,5,6,6
"WCSL-6268-11",11,5,4,7,7
"WCSL-6271-11",10,8,8,7,7
"WCSL-6274-11",8,6,6,6,6
"WCSL-6431-11",11,5,6,7,7
"WCSL-6436-11",3,1,2,0,0
"WCSL-6438-11",10,4,5,6,7
"WCSL-6439-11",5,4,3,2,2
"WCSL-6441-11",12,7,6,8,7
"WCSL-6443-11",12,5,10,9,11
"WCSL-6445-11",6,4,4,3,4
"WCSL-6446-11",12,6,6,7,7
"WCSL-6447-11",10,5,7,6,6
"WCSL-6450-11",4,3,4,6,4
"WCSL-6452-11",10,7,6,7,7
"WCSL-6453-11",9,4,5,7,6
"WCSL-U211-12",3,2,2,3,1
