"ID","LogPom","LogIct","LogBra","LogAut","LogDja"
"CSL-10029",14,6,9,9,8
"CSL-10039",12,5,8,9,7
"CSL-10040",12,7,10,11,11
"CSL-10082",11,9,10,0,11
"CSL-10083",11,6,10,10,10
"CSL-10084",11,8,7,7,9
"CSL-10087",13,10,11,11,11
"CSL-10101",12,8,9,8,9
"CSL-10113",10,10,10,9,10
"CSL-10120",10,7,8,12,9
"CSL-10144",12,10,9,10,8
"CSL-6210",12,7,7,9,8
"CSL-7522",11,5,0,0,0
"CSL-9784",10,7,8,9,10
"CSL-9979",10,7,10,10,9
"WCSL-10-66",6,3,0,2,1
"WCSL-209-11",9,5,6,7,4
"WCSL-6269-11",9,4,5,6,5
"WCSL-6434-11",7,5,4,3,4
