"ID","LogPom","LogIct","LogBra","LogAut","LogDja"
"02107",7,3,3,9,9
"03798",7,3,5,10,7
"04471",6,1,4,6,7
"07180",6,1,2,6,6
"07478",6,5,8,7,6
"14A0D",8,3,5,9,6
"15690",9,2,4,9,7
"15781",7,1,3,8,7
"16055",6,2,2,7,8
"16082",6,1,2,7,8
"16114",4,1,3,5,5
"16336",6,1,3,9,7
"16388",8,3,4,9,7
"16494",8,2,5,11,7
"17514",7,2,3,9,8
"21325",8,3,3,8,8
"22154",8,4,4,8,7
"23727",7,4,4,7,8
"23816",8,5,6,9,9
"23850",8,4,6,11,9
"23856",8,4,5,10,9
"24072",8,4,5,7,4
"24269",4,1,3,5,4
"26079",7,3,4,7,8
"26195",8,5,7,8,5
"26225",5,1,3,7,7
"32256",7,3,5,8,8
"36401",6,2,2,6,3
"37531",8,3,5,8,8
"37539",8,3,5,9,7
"38981",7,3,4,7,6
"38983",7,2,4,7,8
"39013",7,1,2,8,10
"39014",6,0,3,7,6
"39031",8,2,4,9,7
"39037",6,2,4,7,7
"39454",5,5,6,4,1
"41214",9,5,8,10,4
"46621",8,5,6,8,4
"56111",6,0,0,8,7
"59843",8,0,3,8,8
"61904",6,1,2,9,8
"71353",7,6,8,7,2
"7582C",4,2,6,6,7
"76266",9,5,7,10,9
"78624",6,2,2,9,8
"78746",3,0,0,3,3
"80450",6,2,4,8,8
"84D5D",7,3,4,8,9
"86076",11,4,6,10,8
"88652",9,1,3,8,8
"90599",9,4,5,9,9
"90697",8,3,5,8,6
"98205",5,2,2,6,6
"A426D",3,2,5,9,10
"B0F3B",8,3,3,8,9
"C0D60",5,0,1,1,6
"E6D47",7,3,3,8,6
"F4A38",6,3,5,7,7
