"ID","LogPom","LogIct","LogBra","LogAut","LogDja"
"04824",7,0,0,3,3
"06594",4,0,0,1,0
"07173",5,0,0,3,2
"15648",3,0,0,0,0
"15728",2,0,0,1,0
"15741",0,0,0,2,2
"15744",4,0,0,4,5
"15776",4,0,0,3,2
"15898",2,0,0,1,1
"16027",6,0,0,3,2
"16057",4,0,0,3,2
"16115",5,0,0,2,1
"16406",2,0,0,0,0
"16430",3,0,0,2,1
"16512",2,0,0,2,2
"16906",5,0,0,6,6
"21074",3,0,2,3,3
"21286",5,1,1,5,5
"22918",3,0,0,3,2
"26207",3,0,0,1,0
"36B51",4,0,0,1,1
"37513",4,0,0,4,4
"37522",3,0,0,3,2
"37537",5,1,1,3,3
"37546",5,0,0,4,4
"37554",4,0,0,3,3
"39015",2,0,0,1,1
"39419",5,4,1,4,4
"60734",2,0,0,0,0
"62499",6,0,0,3,2
"62925",5,0,0,3,3
"66255",6,0,0,1,0
"68112",2,0,0,1,1
"72571",3,0,0,2,1
"77293",3,0,0,1,2
"79799",4,0,0,2,3
"8377C",3,0,0,1,1
"84765",4,0,0,5,4
"84809",7,0,0,3,4
"85654",5,0,0,5,5
"86240",3,0,0,3,2
"86550",2,0,0,1,0
"86748",2,0,0,0,0
"87389",3,0,0,1,1
"87397",3,0,0,0,0
"87488",3,0,0,1,0
"87631",5,0,0,3,3
"91062",4,0,0,3,2
"91263",1,0,0,0,0
"A0451",7,3,3,5,0
"E0F06",4,0,0,3,3
"E1E77",2,0,0,0,0
"E606C",2,0,0,1,0
"E7B4A",7,2,2,5,2
"E7E70",4,0,0,2,2
