Pittag,PomonaLevel,AutumnalisLevel,DaysSinceKnownPos,CurrentShedPN
02107,0,0,-355,NA
02107,7,9,0,+
02107,7,9,371,NA
02107,3,5,729,-
02107,0,3,1092,NA
02107,2,NA,1557,NA
02107,1,NA,1855,-
02107,0,NA,2205,NA
07478,6,7,0,+
07478,4,4,578,-
14A0D,8,9,0,NA
14A0D,7,8,380,NA
14A0D,7,8,757,-
14A0D,6,8,851,+
14A0D,5,6,1124,NA
14A0D,5,6,1472,-
14A0D,5,NA,1949,-
23727,7,7,0,+
23727,3,5,395,NA
23727,3,4,747,-
23727,3,NA,1193,NA
23850,0,0,-573,NA
23850,8,11,0,+
23850,8,10,89,+
24269,0,0,-673,NA
24269,4,5,0,-
24269,4,6,105,-
24269,3,5,304,+
24269,3,4,346,-
24269,4,NA,805,NA
24269,2,NA,1106,-
37531,8,8,0,+
37531,3,4,741,NA
37539,8,9,0,+
37539,6,8,346,NA
37539,3,6,737,-
37539,3,NA,1090,NA
37539,3,NA,1495,-
37539,3,NA,1836,-
39031,8,9,0,+
39031,4,6,321,NA
39031,2,4,712,NA
39031,2,NA,1063,NA
39031,1,NA,1814,-
39037,6,7,0,+
39037,2,4,366,-
39037,2,3,533,-
39037,1,NA,1283,NA
59843,0,0,-371,NA
59843,8,8,0,+
59843,3,4,350,NA
59843,1,2,705,-
59843,1,NA,1149,NA
59843,0,NA,1467,-
61904,6,9,0,NA
61904,6,9,113,+
61904,5,7,378,-
61904,4,6,481,-
61904,4,5,728,NA
61904,3,NA,1204,NA
61904,1,NA,1467,NA
61904,2,NA,1828,NA
61904,2,NA,1967,NA
61904,2,NA,2191,NA
78624,6,9,0,+
78624,5,5,325,-
78624,5,5,445,NA
78624,4,5,723,NA
78624,3,4,1089,-
78624,1,NA,2182,NA
86076,11,10,0,NA
86076,7,8,239,+
86076,6,7,554,+
86076,5,7,605,NA
86076,4,5,1329,NA
90599,0,0,-390,NA
90599,9,9,1,+
90599,7,9,352,+
90599,7,7,383,+
90599,2,2,702,NA
90599,2,NA,1106,NA
90599,1,NA,1435,NA
90697,0,0,-747,NA
90697,0,0,-699,NA
90697,0,0,-347,NA
90697,8,8,0,+
90697,7,8,121,+
90697,7,NA,406,+
98205,5,6,0,+
98205,4,4,368,-
98205,3,NA,1110,-
B0F3B,0,0,-153,NA
B0F3B,5,7,0,NA
B0F3B,8,8,231,+
B0F3B,7,8,594,+
B0F3B,6,7,706,+
B0F3B,5,7,971,NA
B0F3B,4,5,1321,-
B0F3B,4,NA,1797,NA
C0D60,0,0,-705,NA
C0D60,5,1,0,+
C0D60,3,3,737,-
C0D60,2,3,866,NA
C0D60,2,2,1087,-
C0D60,2,2,1478,NA
F4A38,6,7,0,+
F4A38,4,5,414,-
F4A38,4,5,788,NA
F4A38,4,5,1135,NA
F4A38,4,5,1486,-
