Pittag,Date,Titer,Lab,Serovar
07061,2007-03-21T00:00:00Z,0,Lab A,Pomona
1271E,2007-09-07T00:00:00Z,0,Lab A,Pomona
13B68,2007-09-08T00:00:00Z,0,Lab A,Pomona
14454,2007-09-07T00:00:00Z,0,Lab A,Pomona
15636,2015-07-23T00:00:00Z,0,Lab A,Pomona
15702,2015-07-26T00:00:00Z,0,Lab A,Pomona
15771,2015-07-11T00:00:00Z,0,Lab A,Pomona
15790,2015-08-21T00:00:00Z,0,Lab A,Pomona
16026,2015-11-14T00:00:00Z,0,Lab A,Pomona
16034,2015-07-22T00:00:00Z,0,Lab A,Pomona
31439,2015-11-21T00:00:00Z,0,Lab A,Pomona
92299,2015-08-20T00:00:00Z,0,Lab A,Pomona
A1242,2007-01-05T00:00:00Z,0,Lab A,Pomona
F4A18,2007-11-02T00:00:00Z,0,Lab A,Pomona
4151F,2015-01-03T00:00:00Z,0,Lab A,Pomona
4466C,2015-07-26T00:00:00Z,0,Lab A,Pomona
38976,2015-10-23T00:00:00Z,1,Lab A,Pomona
41B20,2008-09-25T00:00:00Z,1,Lab A,Pomona
16083,2015-07-10T00:00:00Z,1,Lab A,Pomona
B1311,2007-12-13T00:00:00Z,2,Lab A,Pomona
16044,2015-08-19T00:00:00Z,2,Lab A,Pomona
16436,2015-07-25T00:00:00Z,2,Lab A,Pomona
13737,2008-01-11T00:00:00Z,3,Lab A,Pomona
58646,2015-08-12T00:00:00Z,3,Lab A,Pomona
52858,2015-11-18T00:00:00Z,3,Lab A,Pomona
56141,2007-11-21T00:00:00Z,4,Lab A,Pomona
16103,2015-07-23T00:00:00Z,4,Lab A,Pomona
23147,2015-08-20T00:00:00Z,4,Lab A,Pomona
16368,2015-10-01T00:00:00Z,5,Lab A,Pomona
16381,2015-08-19T00:00:00Z,6,Lab A,Pomona
23862,2015-07-23T00:00:00Z,6,Lab A,Pomona
16362,2015-10-11T00:00:00Z,7,Lab A,Pomona
07061,2007-03-21T00:00:00Z,0,Lab B,Pomona
1271E,2007-09-07T00:00:00Z,0,Lab B,Pomona
13B68,2007-09-08T00:00:00Z,2,Lab B,Pomona
14454,2007-09-07T00:00:00Z,0,Lab B,Pomona
15636,2015-07-23T00:00:00Z,2,Lab B,Pomona
15702,2015-07-26T00:00:00Z,2,Lab B,Pomona
15771,2015-07-11T00:00:00Z,0,Lab B,Pomona
15790,2015-08-21T00:00:00Z,0,Lab B,Pomona
16026,2015-11-14T00:00:00Z,0,Lab B,Pomona
16034,2015-07-22T00:00:00Z,0,Lab B,Pomona
31439,2015-11-21T00:00:00Z,2,Lab B,Pomona
92299,2015-08-20T00:00:00Z,3,Lab B,Pomona
A1242,2007-01-05T00:00:00Z,2,Lab B,Pomona
F4A18,2007-11-02T00:00:00Z,2,Lab B,Pomona
4151F,2015-01-03T00:00:00Z,2,Lab B,Pomona
4466C,2015-07-26T00:00:00Z,4,Lab B,Pomona
38976,2015-10-23T00:00:00Z,2,Lab B,Pomona
41B20,2008-09-25T00:00:00Z,2,Lab B,Pomona
16083,2015-07-10T00:00:00Z,3,Lab B,Pomona
B1311,2007-12-13T00:00:00Z,3,Lab B,Pomona
16044,2015-08-19T00:00:00Z,3,Lab B,Pomona
16436,2015-07-25T00:00:00Z,3,Lab B,Pomona
13737,2008-01-11T00:00:00Z,4,Lab B,Pomona
58646,2015-08-12T00:00:00Z,4,Lab B,Pomona
52858,2015-11-18T00:00:00Z,5,Lab B,Pomona
56141,2007-11-21T00:00:00Z,5,Lab B,Pomona
16103,2015-07-23T00:00:00Z,5,Lab B,Pomona
23147,2015-08-20T00:00:00Z,6,Lab B,Pomona
16368,2015-10-01T00:00:00Z,6,Lab B,Pomona
16381,2015-08-19T00:00:00Z,5,Lab B,Pomona
23862,2015-07-23T00:00:00Z,5,Lab B,Pomona
16362,2015-10-11T00:00:00Z,7,Lab B,Pomona
07061,2007-03-21T00:00:00Z,1,Lab C,Pomona
1271E,2007-09-07T00:00:00Z,0,Lab C,Pomona
13B68,2007-09-08T00:00:00Z,1,Lab C,Pomona
14454,2007-09-07T00:00:00Z,0,Lab C,Pomona
15636,2015-07-23T00:00:00Z,0,Lab C,Pomona
15702,2015-07-26T00:00:00Z,0,Lab C,Pomona
15771,2015-07-11T00:00:00Z,0,Lab C,Pomona
15790,2015-08-21T00:00:00Z,0,Lab C,Pomona
16026,2015-11-14T00:00:00Z,2,Lab C,Pomona
16034,2015-07-22T00:00:00Z,6,Lab C,Pomona
31439,2015-11-21T00:00:00Z,4,Lab C,Pomona
92299,2015-08-20T00:00:00Z,5,Lab C,Pomona
A1242,2007-01-05T00:00:00Z,4,Lab C,Pomona
F4A18,2007-11-02T00:00:00Z,4,Lab C,Pomona
4151F,2015-01-03T00:00:00Z,4,Lab C,Pomona
4466C,2015-07-26T00:00:00Z,6,Lab C,Pomona
38976,2015-10-23T00:00:00Z,5,Lab C,Pomona
41B20,2008-09-25T00:00:00Z,5,Lab C,Pomona
16083,2015-07-10T00:00:00Z,4,Lab C,Pomona
B1311,2007-12-13T00:00:00Z,5,Lab C,Pomona
16044,2015-08-19T00:00:00Z,5,Lab C,Pomona
16436,2015-07-25T00:00:00Z,5,Lab C,Pomona
13737,2008-01-11T00:00:00Z,6,Lab C,Pomona
58646,2015-08-12T00:00:00Z,6,Lab C,Pomona
52858,2015-11-18T00:00:00Z,8,Lab C,Pomona
56141,2007-11-21T00:00:00Z,6,Lab C,Pomona
16103,2015-07-23T00:00:00Z,7,Lab C,Pomona
23147,2015-08-20T00:00:00Z,8,Lab C,Pomona
16368,2015-10-01T00:00:00Z,9,Lab C,Pomona
16381,2015-08-19T00:00:00Z,7,Lab C,Pomona
23862,2015-07-23T00:00:00Z,7,Lab C,Pomona
16362,2015-10-11T00:00:00Z,9,Lab C,Pomona
07061,2007-03-21T00:00:00Z,0,Lab A,Autumnalis
1271E,2007-09-07T00:00:00Z,0,Lab A,Autumnalis
13B68,2007-09-08T00:00:00Z,0,Lab A,Autumnalis
14454,2007-09-07T00:00:00Z,0,Lab A,Autumnalis
15636,2015-07-23T00:00:00Z,0,Lab A,Autumnalis
15702,2015-07-26T00:00:00Z,0,Lab A,Autumnalis
15771,2015-07-11T00:00:00Z,0,Lab A,Autumnalis
15790,2015-08-21T00:00:00Z,0,Lab A,Autumnalis
16026,2015-11-14T00:00:00Z,0,Lab A,Autumnalis
16034,2015-07-22T00:00:00Z,0,Lab A,Autumnalis
31439,2015-11-21T00:00:00Z,1,Lab A,Autumnalis
92299,2015-08-20T00:00:00Z,1,Lab A,Autumnalis
A1242,2007-01-05T00:00:00Z,3,Lab A,Autumnalis
F4A18,2007-11-02T00:00:00Z,3,Lab A,Autumnalis
4151F,2015-01-03T00:00:00Z,4,Lab A,Autumnalis
4466C,2015-07-26T00:00:00Z,4,Lab A,Autumnalis
38976,2015-10-23T00:00:00Z,2,Lab A,Autumnalis
41B20,2008-09-25T00:00:00Z,2,Lab A,Autumnalis
16083,2015-07-10T00:00:00Z,3,Lab A,Autumnalis
B1311,2007-12-13T00:00:00Z,1,Lab A,Autumnalis
16044,2015-08-19T00:00:00Z,3,Lab A,Autumnalis
16436,2015-07-25T00:00:00Z,3,Lab A,Autumnalis
13737,2008-01-11T00:00:00Z,4,Lab A,Autumnalis
58646,2015-08-12T00:00:00Z,5,Lab A,Autumnalis
52858,2015-11-18T00:00:00Z,6,Lab A,Autumnalis
56141,2007-11-21T00:00:00Z,3,Lab A,Autumnalis
16103,2015-07-23T00:00:00Z,4,Lab A,Autumnalis
23147,2015-08-20T00:00:00Z,5,Lab A,Autumnalis
16368,2015-10-01T00:00:00Z,6,Lab A,Autumnalis
16381,2015-08-19T00:00:00Z,1,Lab A,Autumnalis
23862,2015-07-23T00:00:00Z,5,Lab A,Autumnalis
16362,2015-10-11T00:00:00Z,7,Lab A,Autumnalis
07061,2007-03-21T00:00:00Z,0,Lab B,Autumnalis
1271E,2007-09-07T00:00:00Z,0,Lab B,Autumnalis
13B68,2007-09-08T00:00:00Z,2,Lab B,Autumnalis
14454,2007-09-07T00:00:00Z,0,Lab B,Autumnalis
15636,2015-07-23T00:00:00Z,1,Lab B,Autumnalis
15702,2015-07-26T00:00:00Z,1,Lab B,Autumnalis
15771,2015-07-11T00:00:00Z,0,Lab B,Autumnalis
15790,2015-08-21T00:00:00Z,0,Lab B,Autumnalis
16026,2015-11-14T00:00:00Z,0,Lab B,Autumnalis
16034,2015-07-22T00:00:00Z,0,Lab B,Autumnalis
31439,2015-11-21T00:00:00Z,3,Lab B,Autumnalis
92299,2015-08-20T00:00:00Z,2,Lab B,Autumnalis
A1242,2007-01-05T00:00:00Z,5,Lab B,Autumnalis
F4A18,2007-11-02T00:00:00Z,3,Lab B,Autumnalis
4151F,2015-01-03T00:00:00Z,4,Lab B,Autumnalis
4466C,2015-07-26T00:00:00Z,4,Lab B,Autumnalis
38976,2015-10-23T00:00:00Z,3,Lab B,Autumnalis
41B20,2008-09-25T00:00:00Z,2,Lab B,Autumnalis
16083,2015-07-10T00:00:00Z,3,Lab B,Autumnalis
B1311,2007-12-13T00:00:00Z,2,Lab B,Autumnalis
16044,2015-08-19T00:00:00Z,3,Lab B,Autumnalis
16436,2015-07-25T00:00:00Z,3,Lab B,Autumnalis
13737,2008-01-11T00:00:00Z,5,Lab B,Autumnalis
58646,2015-08-12T00:00:00Z,5,Lab B,Autumnalis
52858,2015-11-18T00:00:00Z,6,Lab B,Autumnalis
56141,2007-11-21T00:00:00Z,5,Lab B,Autumnalis
16103,2015-07-23T00:00:00Z,5,Lab B,Autumnalis
23147,2015-08-20T00:00:00Z,5,Lab B,Autumnalis
16368,2015-10-01T00:00:00Z,6,Lab B,Autumnalis
16381,2015-08-19T00:00:00Z,3,Lab B,Autumnalis
23862,2015-07-23T00:00:00Z,6,Lab B,Autumnalis
16362,2015-10-11T00:00:00Z,7,Lab B,Autumnalis
07061,2007-03-21T00:00:00Z,0,Lab C,Autumnalis
1271E,2007-09-07T00:00:00Z,0,Lab C,Autumnalis
13B68,2007-09-08T00:00:00Z,0,Lab C,Autumnalis
14454,2007-09-07T00:00:00Z,0,Lab C,Autumnalis
15636,2015-07-23T00:00:00Z,0,Lab C,Autumnalis
15702,2015-07-26T00:00:00Z,0,Lab C,Autumnalis
15771,2015-07-11T00:00:00Z,0,Lab C,Autumnalis
15790,2015-08-21T00:00:00Z,0,Lab C,Autumnalis
16026,2015-11-14T00:00:00Z,1,Lab C,Autumnalis
16034,2015-07-22T00:00:00Z,2,Lab C,Autumnalis
31439,2015-11-21T00:00:00Z,4,Lab C,Autumnalis
92299,2015-08-20T00:00:00Z,3,Lab C,Autumnalis
A1242,2007-01-05T00:00:00Z,5,Lab C,Autumnalis
F4A18,2007-11-02T00:00:00Z,4,Lab C,Autumnalis
4151F,2015-01-03T00:00:00Z,5,Lab C,Autumnalis
4466C,2015-07-26T00:00:00Z,5,Lab C,Autumnalis
38976,2015-10-23T00:00:00Z,3,Lab C,Autumnalis
41B20,2008-09-25T00:00:00Z,3,Lab C,Autumnalis
16083,2015-07-10T00:00:00Z,4,Lab C,Autumnalis
B1311,2007-12-13T00:00:00Z,2,Lab C,Autumnalis
16044,2015-08-19T00:00:00Z,5,Lab C,Autumnalis
16436,2015-07-25T00:00:00Z,4,Lab C,Autumnalis
13737,2008-01-11T00:00:00Z,6,Lab C,Autumnalis
58646,2015-08-12T00:00:00Z,6,Lab C,Autumnalis
52858,2015-11-18T00:00:00Z,6,Lab C,Autumnalis
56141,2007-11-21T00:00:00Z,6,Lab C,Autumnalis
16103,2015-07-23T00:00:00Z,6,Lab C,Autumnalis
23147,2015-08-20T00:00:00Z,6,Lab C,Autumnalis
16368,2015-10-01T00:00:00Z,6,Lab C,Autumnalis
16381,2015-08-19T00:00:00Z,3,Lab C,Autumnalis
23862,2015-07-23T00:00:00Z,6,Lab C,Autumnalis
16362,2015-10-11T00:00:00Z,5,Lab C,Autumnalis
