ID,Pittag,Date,Lab,Pomona,Autumnalis,PomEndpoint,AutEndpoint
1,7061,3/21/07,Lab A,0,0,Y,Y
2,1271E,9/7/07,Lab A,0,0,Y,Y
3,13B68,9/8/07,Lab A,0,0,Y,Y
4,14454,9/7/07,Lab A,0,0,Y,Y
5,15636,7/23/15,Lab A,0,0,Y,Y
6,15702,7/26/15,Lab A,0,0,Y,Y
7,15771,7/11/15,Lab A,0,0,Y,Y
8,15790,8/21/15,Lab A,0,0,Y,Y
9,16026,11/14/15,Lab A,0,0,Y,Y
10,16034,7/22/15,Lab A,0,0,Y,Y
11,31439,11/21/15,Lab A,0,1,Y,Y
12,92299,8/20/15,Lab A,0,1,Y,Y
13,A1242,1/5/07,Lab A,0,3,Y,Y
14,F4A18,11/2/07,Lab A,0,3,Y,Y
15,4151F,1/3/15,Lab A,0,4,Y,Y
16,4466C,7/26/15,Lab A,0,4,Y,Y
17,38976,10/23/15,Lab A,1,2,Y,Y
18,41B20,9/25/08,Lab A,1,2,Y,Y
19,16083,7/10/15,Lab A,1,3,Y,Y
20,B1311,12/13/07,Lab A,2,1,Y,Y
21,16044,8/19/15,Lab A,2,3,Y,Y
22,16436,7/25/15,Lab A,2,3,Y,Y
23,13737,1/11/08,Lab A,3,4,Y,Y
24,58646,8/12/15,Lab A,3,5,Y,Y
25,52858,11/18/15,Lab A,3,6,Y,Y
26,56141,11/21/07,Lab A,4,3,Y,Y
27,16103,7/23/15,Lab A,4,4,Y,Y
28,23147,8/20/15,Lab A,4,5,Y,Y
29,15748,8/9/15,Lab A,5,0.5,Y,N
30,16368,10/1/15,Lab A,5,6,Y,Y
31,E1D7D,11/8/07,Lab A,5,6,Y,Y
32,16381,8/19/15,Lab A,6,1,Y,Y
33,23862,7/23/15,Lab A,6,5,Y,Y
34,D353A,11/21/07,Lab A,6,6,Y,Y
35,16362,10/11/15,Lab A,7,7,Y,Y
36,23858,10/1/15,Lab A,7,7,Y,Y
37,84001,9/26/08,Lab A,7,7,Y,Y
38,15660,10/10/15,Lab A,8,0.5,Y,N
39,15718,7/23/15,Lab A,8,0.5,Y,N
40,E7E21,12/1/07,Lab A,8,7,Y,Y
41,E7E64,12/8/07,Lab A,8,8,Y,Y
42,D353A,12/9/06,Lab A,9,9,Y,Y
43,23450,11/11/06,Lab A,9,10,Y,Y
44,D2B53,12/10/07,Lab A,10,6,Y,Y
45,D4C78,9/30/06,Lab A,10,10,Y,Y
46,3045D,1/15/07,Lab A,10,11,Y,Y
1,7061,3/21/07,Lab C,1,0,Y,Y
2,1271E,9/7/07,Lab C,0,0,Y,Y
3,13B68,9/8/07,Lab C,1,0,Y,Y
4,14454,9/7/07,Lab C,0,0,Y,Y
5,15636,7/23/15,Lab C,0,0,Y,Y
6,15702,7/26/15,Lab C,0,0,Y,Y
7,15771,7/11/15,Lab C,0,0,Y,Y
8,15790,8/21/15,Lab C,0,0,Y,Y
9,16026,11/14/15,Lab C,2,1,Y,Y
10,16034,7/22/15,Lab C,6,2,Y,Y
11,31439,11/21/15,Lab C,4,4,Y,Y
12,92299,8/20/15,Lab C,5,3,Y,Y
13,A1242,1/5/07,Lab C,4,5,Y,Y
14,F4A18,11/2/07,Lab C,4,4,Y,Y
15,4151F,1/3/15,Lab C,4,5,Y,Y
16,4466C,7/26/15,Lab C,6,5,Y,Y
17,38976,10/23/15,Lab C,5,3,Y,Y
18,41B20,9/25/08,Lab C,5,3,Y,Y
19,16083,7/10/15,Lab C,4,4,Y,Y
20,B1311,12/13/07,Lab C,5,2,Y,Y
21,16044,8/19/15,Lab C,5,5,Y,Y
22,16436,7/25/15,Lab C,5,4,Y,Y
23,13737,1/11/08,Lab C,6,6,Y,Y
24,58646,8/12/15,Lab C,6,6,Y,Y
25,52858,11/18/15,Lab C,8,6,Y,Y
26,56141,11/21/07,Lab C,6,6,Y,Y
27,16103,7/23/15,Lab C,7,6,Y,Y
28,23147,8/20/15,Lab C,8,6,Y,Y
29,15748,8/9/15,Lab C,8,7,Y,N
30,16368,10/1/15,Lab C,9,6,Y,Y
31,E1D7D,11/8/07,Lab C,7,7,Y,N
32,16381,8/19/15,Lab C,7,3,Y,Y
33,23862,7/23/15,Lab C,7,6,Y,Y
34,D353A,11/21/07,Lab C,9,7,Y,N
35,16362,10/11/15,Lab C,9,5,Y,Y
36,23858,10/1/15,Lab C,11,7,Y,N
37,84001,9/26/08,Lab C,7,7,Y,N
38,15660,10/10/15,Lab C,11,7,Y,N
39,15718,7/23/15,Lab C,12,7,Y,N
40,E7E21,12/1/07,Lab C,12,7,Y,N
41,E7E64,12/8/07,Lab C,11,7,Y,N
42,D353A,12/9/06,Lab C,11,7,Y,N
43,23450,11/11/06,Lab C,11,7,Y,N
44,D2B53,12/10/07,Lab C,13,7,Y,N
45,D4C78,9/30/06,Lab C,12,7,Y,N
46,3045D,1/15/07,Lab C,12,7,Y,N
1,7061,3/21/07,Lab B,0,0,Y,Y
2,1271E,9/7/07,Lab B,0,0,Y,Y
3,13B68,9/8/07,Lab B,2,2,Y,Y
4,14454,9/7/07,Lab B,0,0,Y,Y
5,15636,7/23/15,Lab B,2,1,Y,Y
6,15702,7/26/15,Lab B,2,1,Y,Y
7,15771,7/11/15,Lab B,0,0,Y,Y
8,15790,8/21/15,Lab B,0,0,Y,Y
9,16026,11/14/15,Lab B,0,0,Y,Y
10,16034,7/22/15,Lab B,0,0,Y,Y
11,31439,11/21/15,Lab B,2,3,Y,Y
12,92299,8/20/15,Lab B,3,2,Y,Y
13,A1242,1/5/07,Lab B,2,5,Y,Y
14,F4A18,11/2/07,Lab B,2,3,Y,Y
15,4151F,1/3/15,Lab B,2,4,Y,Y
16,4466C,7/26/15,Lab B,4,4,Y,Y
17,38976,10/23/15,Lab B,2,3,Y,Y
18,41B20,9/25/08,Lab B,2,2,Y,Y
19,16083,7/10/15,Lab B,3,3,Y,Y
20,B1311,12/13/07,Lab B,3,2,Y,Y
21,16044,8/19/15,Lab B,3,3,Y,Y
22,16436,7/25/15,Lab B,3,3,Y,Y
23,13737,1/11/08,Lab B,4,5,Y,Y
24,58646,8/12/15,Lab B,4,5,Y,Y
25,52858,11/18/15,Lab B,5,6,Y,Y
26,56141,11/21/07,Lab B,5,5,Y,Y
27,16103,7/23/15,Lab B,5,5,Y,Y
28,23147,8/20/15,Lab B,6,5,Y,Y
29,15748,8/9/15,Lab B,5,6,Y,Y
30,16368,10/1/15,Lab B,6,6,Y,Y
31,E1D7D,11/8/07,Lab B,5,5,Y,Y
32,16381,8/19/15,Lab B,5,3,Y,Y
33,23862,7/23/15,Lab B,5,6,Y,Y
34,D353A,11/21/07,Lab B,6,6,Y,Y
35,16362,10/11/15,Lab B,7,7,Y,Y
36,23858,10/1/15,Lab B,8,8,Y,Y
37,84001,9/26/08,Lab B,5,6,Y,Y
38,15660,10/10/15,Lab B,9,8,Y,Y
39,15718,7/23/15,Lab B,10,11,Y,Y
40,E7E21,12/1/07,Lab B,10,8,Y,Y
41,E7E64,12/8/07,Lab B,9,9,Y,Y
42,D353A,12/9/06,Lab B,8,8,Y,Y
43,23450,11/11/06,Lab B,8,9,Y,Y
44,D2B53,12/10/07,Lab B,11,10,Y,Y
45,D4C78,9/30/06,Lab B,9,8,Y,Y
